google_name,google_latitude,google_longitude,google_address,google_maps_url,google_place_id,google_cid
Trạm thu phí Nam Bình Định,13.871314,109.125422,"V4CG+G5F Trạm Thu phí Nam Bình Định, AH1, An Nhơn Nam, Gia Lai, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Nam+B%C3%ACnh+%C4%90%E1%BB%8Bnh/data=!4m7!3m6!1s0x316f158e2d78bc5b:0x343baadefce11542!8m2!3d13.871314!4d109.1254223!16s%2Fg%2F11cm1sqjy1!19sChIJW7x4LY4VbzERQhXh_N6qOzQ?authuser=0&hl=vi&rclk=1,ChIJW7x4LY4VbzERQhXh_N6qOzQ,3763789788300252482
Trạm thu phí Nam Cầu Giẽ,20.665174,105.916606,"Duy Hà, Ninh Bình, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Nam+C%E1%BA%A7u+Gi%E1%BA%BD/data=!4m7!3m6!1s0x3135c91b4d6f893d:0xcbf527d56e0a48c2!8m2!3d20.6651745!4d105.9166062!16s%2Fg%2F11b8_7fycf!19sChIJPYlvTRvJNTERwkgKbtUn9cs?authuser=0&hl=vi&rclk=1,ChIJPYlvTRvJNTERwkgKbtUn9cs,14696696756621166786
Trạm thu phí Ninh Lộc,12.444329,109.120564,"C4VC+P6P Trạm Thu phí Ninh Lộc, AH1, Nam Ninh Hòa, Khánh Hòa, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Ninh+L%E1%BB%99c/data=!4m7!3m6!1s0x317040ebc6892873:0x35e7b3cb040fb76b!8m2!3d12.4443288!4d109.1205638!16s%2Fg%2F11g8lv308h!19sChIJcyiJxutAcDERa7cPBMuz5zU?authuser=0&hl=vi&rclk=1,ChIJcyiJxutAcDERa7cPBMuz5zU,3884270888158213995
Trạm thu phí Phong Thử,15.890553,108.173646,"V5RF+6FC Trạm Thu phí Phong Thử, Điện Bàn Tây, Đà Nẵng, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Phong+Th%E1%BB%AD/data=!4m7!3m6!1s0x314204f68cb8eb1d:0xd9d31856bb0981d0!8m2!3d15.8905526!4d108.1736457!16s%2Fg%2F11gf9790vd!19sChIJHeu4jPYEQjER0IEJu1YY09k?authuser=0&hl=vi&rclk=1,ChIJHeu4jPYEQjER0IEJu1YY09k,15695915887100527056
Trạm thu phí Pháp Vân,20.907514,105.86138,"WV46+XF4 Trạm thu phí Pháp Vân, ĐCT Pháp Vân - Cầu Giẽ, Nam Phù, Hà Nội, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+Ph%C3%A1p+V%C3%A2n/data=!4m7!3m6!1s0x3135b3eca01742e5:0xa4130783e09443d5!8m2!3d20.9075135!4d105.8613805!16s%2Fg%2F11t4928m1f!19sChIJ5UIXoOyzNTER1UOU4IMHE6Q?authuser=0&hl=vi&rclk=1,ChIJ5UIXoOyzNTER1UOU4IMHE6Q,11822801709767607253
Trạm thu phí Phù Ninh (IC8),21.390527,105.330033,"98RJ+627 Trạm Thu phí Phù Ninh (IC8), Phù Ninh, Phú Thọ, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Ph%C3%B9+Ninh+%28IC8%29/data=!4m7!3m6!1s0x313493cf256343eb:0xb3e9e9b6b4a4517f!8m2!3d21.3905272!4d105.3300325!16s%2Fg%2F11ckkwq3tv!19sChIJ60NjJc-TNDERf1GktLbp6bM?authuser=0&hl=vi&rclk=1,ChIJ60NjJc-TNDERf1GktLbp6bM,12964149973286670719
Trạm thu phí Phú Bài,16.370271,107.724977,"9PCF+4X5 Trạm Thu phí Phú Bài, AH1, Phú Bài, Huế, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Ph%C3%BA+B%C3%A0i/data=!4m7!3m6!1s0x314199ae55bfffff:0x5afc509a542fd818!8m2!3d16.3702707!4d107.7249773!16s%2Fg%2F11c2k985mg!19sChIJ__-_Va6ZQTERGNgvVJpQ_Fo?authuser=0&hl=vi&rclk=1,ChIJ__-_Va6ZQTERGNgvVJpQ_Fo,6556203781312206872
Trạm thu phí Phú Thọ (IC9),21.423543,105.230986,"C6FJ+C99 Trạm Thu phí Phú Thọ (IC9), Nút giao IC9, Phú Thọ, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+phi%CC%81+Ph%C3%BA+Th%E1%BB%8D+%28IC9%29/data=!4m7!3m6!1s0x313490a531bdc483:0x20fa103dfd11d241!8m2!3d21.4235429!4d105.2309862!16s%2Fg%2F11cn3rp_5d!19sChIJg8S9MaWQNDERQdIR_T0Q-iA?authuser=0&hl=vi&rclk=1,ChIJg8S9MaWQNDERQdIR_T0Q-iA,2376229611816211009
Trạm thu phí Phả Lại,21.116648,106.276521,"478G+MJ2 Trạm Thu phí Phả Lại, Phù Lãng, Bắc Ninh, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Ph%E1%BA%A3+L%E1%BA%A1i/data=!4m7!3m6!1s0x313577ca407fbdf9:0xd1e99dd9d6e61ae6!8m2!3d21.116648!4d106.2765208!16s%2Fg%2F11h6nswrsr!19sChIJ-b1_QMp3NTER5hrm1tmd6dE?authuser=0&hl=vi&rclk=1,ChIJ-b1_QMp3NTER5hrm1tmd6dE,15125794382439389926
Trạm thu phí QL5B,20.8552617,106.120794,"V439+JWF, Đỗ Mỹ, Phạm Ngũ Lão, Hưng Yên, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+QL+5B/data=!4m7!3m6!1s0x3135bd00785b2e85:0x790d71c6faf24021!8m2!3d20.8552617!4d106.120794!16s%2Fg%2F11x141gp5b!19sChIJhS5beAC9NTERIUDy-sZxDXk?authuser=0&hl=vi&rclk=1,ChIJhS5beAC9NTERIUDy-sZxDXk,0x3135bd00785b2e85:0x790d71c6faf24021
